"","Leaf..1.length..cm.","Leaf..2.length..cm.","Leaf..3.length..cm.","Leaf..4.length..cm.","Leaf..5.length..cm.","Length.of.nut..1..cm.","Length.of.nut..2..cm.","Length.of.nut..3..cm.","Length.of.nut..4..cm.","Length.of.nut..5..cm.","Width.of.nut..1..cm.","Width.of.nut..2..cm.","Width.of.nut..3..cm.","Width.of.nut..4..cm.","Width.of.nut..5..cm.","Catkin.length..1..cm.","Catkin.length..2..cm.","Catkin.length..3..cm.","Catkin.length..4..cm.","Catkin.length..5..cm."
"11",1.65184956670501,1.04088849046267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",-64.5498020260194,-67.94575633128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2.51043599257885,1.10747914328926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2.10606482227332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",-37.6140808344198,-31.4734717416378,-17.4867021276596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8761557859344,16.5487674169346,-1.70749814402376,NA,NA
"16",1.09346316545615,-2.02684917083443,0.242411999393979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-50.1627848735287,-67.7357909185131,-66.4481874771146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.7381385178746,-54.2641282865934,-51.945112462866,NA,NA
"18",-4.57654451426347,-2.39577269266938,NA,NA,NA,-1.38272447934448,-1.70349131388092,NA,NA,NA,-0.418006430868164,-1.86889016676252,NA,NA,NA,NA,NA,NA,NA,NA
"19",-2.79567482772143,-48.930032673005,0.963907036521357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",-51.7496375060416,-20.7608318222154,-6.41587023569281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.0023589185266,31.4214905292972,42.8993084837241,48.8319346790655,47.073316410333
"21",3.81691233514352,10.3498871331828,-1.37991779213153,-6.63989984026249,-0.167908038059162,-1.16361909285206,NA,NA,NA,NA,0.841696341858215,NA,NA,NA,NA,1.55902004454344,1.79429669977571,NA,NA,NA
"22",-70.7197478255794,-50.4477462604432,-8.70231070672493,-15.218951902369,-6.36317907444668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.203018325548,-24.855216184054,-35.4927868410408,-27.348699285618,-25.9829658149574
"23",-1.35959212236328,-18.4513056331089,-10.1578790586834,-14.0347047910073,0.190501654356479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.9062754686227,NA,NA,NA,NA
"24",-27.1737363887535,-5.75598035405109,-7.11674699964416,NA,NA,-6.75375208449138,-7.32510288065843,NA,NA,NA,-5.49568965517242,-5.98377281947261,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.26458884560094,NA,NA,NA,NA,7.91113519371445,7.30738681493248,5.2618200305033,2.18319886093972,-2.8387669106232,-0.0366032210834676,-0.797390358825654,2.92318150917743,1.09853528628495,2.46174318030606,NA,NA,NA,NA,NA
"26",85.6905158069883,14.4035772767351,7.40665170373392,-25.1598610341876,NA,1.77161901420803,-2.23976796648405,-1.52243589743591,-2.18966846569006,NA,0.456621004566215,1.88235294117647,-2.04293628808863,2.5094534204194,NA,NA,NA,NA,NA,NA
"27",-62.0338559560247,-9.02811613310022,NA,NA,NA,14.6120150187735,-6.53545293969215,-5.34504391468005,-0.0495294700346872,NA,-2.57132793237055,-4.71324983520105,-4.05201088599939,-2.08937899013349,NA,NA,NA,NA,NA,NA
"28",-2.46462374660294,-3.2312419466746,-2.66573052793695,NA,NA,-10.5762711864407,NA,NA,NA,NA,-15.8467566390945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",-68.6479785109167,-63.4344146685472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
